feature,importance
duration_s,0.07046633807252999
seq_iat_01,0.07005272547058093
seq_iat_03,0.0697623691226643
std_iat,0.06865987363949937
seq_iat_04,0.06787342198759677
seq_iat_02,0.06768681701784046
mean_iat_up,0.06739820614792785
std_iat_up,0.058111934842917566
std_pkt_sz,0.05527177476034875
mean_pkt_sz_up,0.051596799940035104
byte_ratio_up,0.05117434461408861
mean_pkt_sz,0.0477003920764819
total_bytes,0.04658541359250752
seq_size_04,0.04135602248229321
seq_size_02,0.03745530254360471
seq_size_03,0.027194938257361544
pkts_up,0.021537195660155058
pkt_ratio_up,0.02043269113456669
seq_dir_02,0.01777993630158263
seq_dir_04,0.014969527698951263
std_iat_down,0.01101658645888996
seq_dir_03,0.006071339896696949
min_pkt_sz,0.0028960988296301018
seq_size_00,0.002492311674075651
max_pkt_sz,0.0018751312339206892
seq_dir_01,0.001148793924203862
seq_size_01,0.000919053662194051
seq_dir_00,0.0002574865360777754
total_pkts,0.0002571724207767594
seq_iat_00,0.0
