feature,importance
seq_iat_01,0.05116935408812492
seq_iat_03,0.04969287299078886
seq_iat_02,0.04947001464728829
std_iat,0.04785798470258543
seq_iat_04,0.047811582289072875
mean_iat_up,0.0475503212829177
std_iat_down,0.04753863935223421
duration_s,0.04589256324740925
seq_iat_05,0.04581954383203139
std_iat_up,0.044330814750397345
std_pkt_sz,0.04284942271387621
byte_ratio_up,0.04029420267544635
total_bytes,0.038690087844477215
mean_pkt_sz,0.038250097318990886
seq_iat_06,0.0377902737216623
mean_pkt_sz_up,0.036406612308543605
seq_size_04,0.030612666878704092
seq_size_02,0.028794141965273596
seq_size_05,0.02622568505150484
seq_size_03,0.021878664593135273
seq_dir_05,0.017315947124152086
seq_dir_02,0.014637153039511366
seq_size_06,0.013793461194938674
seq_size_07,0.011853159363391664
seq_iat_07,0.011317030835493567
seq_dir_04,0.010372167813889511
seq_dir_07,0.009789977478542789
seq_iat_08,0.009627754984015342
pkt_ratio_up,0.009421161798149141
seq_size_08,0.007909113553529584
total_pkts,0.007857946405577739
seq_iat_09,0.007618439967088082
seq_dir_06,0.007000282777119924
pkts_up,0.006545598010946058
seq_dir_03,0.006542656782044637
seq_dir_09,0.005843812193696177
seq_dir_08,0.0058193541347685285
seq_size_09,0.005274320224209704
max_pkt_sz,0.004331921531817893
min_pkt_sz,0.004030148618696345
seq_size_00,0.0017622682833871755
seq_size_01,0.0010803082064043238
seq_dir_01,0.0010762447826526934
seq_dir_00,0.00025422464151218007
seq_iat_00,0.0
