feature,importance
seq_iat_01,0.04413234486462626
seq_iat_02,0.042379859783300625
seq_iat_03,0.042236135928899396
seq_iat_05,0.04219228726579195
mean_iat_up,0.042172601917126046
std_iat_up,0.04198077305409889
std_iat_down,0.041419967239929474
seq_iat_04,0.04125987357941837
std_iat,0.04113683856045122
duration_s,0.03907630025552043
std_pkt_sz,0.03529423293049072
seq_iat_06,0.03463717314758088
byte_ratio_up,0.03351929319874686
mean_pkt_sz,0.03346644208108759
total_bytes,0.03245327327439364
mean_pkt_sz_up,0.032343314637150206
tls_up_01,0.03230732181020774
tls_up_02,0.02952854514046877
seq_size_02,0.024930618990960246
seq_size_04,0.023125422121107537
seq_size_05,0.01729371395192219
seq_size_03,0.01704631898823289
tls_down_06,0.016538906662061637
seq_dir_05,0.016537675686793353
seq_size_06,0.00880019516702119
tls_down_07,0.008774980370316305
seq_dir_10,0.008635436139894497
seq_dir_02,0.008185612612831057
seq_iat_07,0.007944466134546909
seq_size_07,0.0076406347024314345
seq_iat_08,0.007450037803249195
pkt_ratio_up,0.006411144823129384
seq_dir_07,0.006177183371371899
tls_up_04,0.006108321760382312
seq_dir_04,0.005684072395241225
seq_iat_09,0.005683234636139891
tls_down_08,0.0055111549499855484
tls_up_03,0.005182509963898577
seq_dir_03,0.004557225369848434
seq_dir_06,0.004134821706147187
seq_dir_11,0.0040940131013649335
seq_size_08,0.004017837625398761
seq_dir_14,0.0037048855057077636
seq_dir_13,0.00368472829180223
min_pkt_sz,0.003538969185344502
seq_dir_08,0.0033893747397459447
seq_dir_12,0.0033744393637700353
pkts_up,0.003084450449390844
seq_size_09,0.0029156555650711033
seq_iat_10,0.0029128017718908256
seq_dir_16,0.002869254411248199
max_pkt_sz,0.002839376213737825
total_pkts,0.0028229522692853107
tls_down_09,0.0027619673902930272
tls_down_11,0.0026598924889749995
seq_iat_11,0.0026544996980151017
tls_down_10,0.0026159178164341964
seq_dir_09,0.002505621490764852
seq_dir_17,0.002308817310606704
seq_dir_15,0.0022870575077914906
seq_dir_18,0.002181597492838908
seq_iat_12,0.002125610477442614
tls_down_12,0.0020887578783259204
seq_size_10,0.00208445398628926
seq_dir_19,0.0015960620042887739
tls_down_13,0.0015928166763796324
seq_size_11,0.0015019833201546514
seq_size_12,0.0011784113741462876
seq_iat_16,0.0010375190100449078
tls_down_16,0.0010125899735946614
seq_size_14,0.0009541473454137765
seq_iat_15,0.0009152569029939266
tls_down_14,0.0008804731147762685
tls_up_06,0.0008525154816621733
tls_up_05,0.0008321054470763847
seq_iat_17,0.000771018883006205
seq_iat_19,0.0007534276785766147
seq_size_13,0.0007459937743496633
seq_size_15,0.0007459719306265778
tls_down_15,0.0007190513961251105
seq_iat_13,0.0006506604488433622
tls_down_18,0.0006385244246380616
seq_iat_18,0.0006370341445060707
tls_down_19,0.0006210547238836921
seq_iat_14,0.0005912262860484199
tls_down_00,0.0005796492284141655
seq_size_17,0.0005731892726444691
seq_size_16,0.0005464061763169969
tls_up_00,0.0005299162126053527
tls_down_02,0.0005209450040875331
seq_size_18,0.00048451034795541666
seq_dir_01,0.00044909416514226063
tls_down_17,0.0004460194877794289
seq_size_00,0.00044422237249884793
seq_size_19,0.0003632770487744539
tls_down_05,0.00035131605887327226
tls_down_04,0.00033669953449745225
seq_size_01,0.0003282002427183746
tls_up_08,0.00030872433212767456
tls_up_07,0.00030352591738588814
tls_down_01,0.00028413633511663604
tls_down_03,0.00023271964572055674
seq_dir_00,5.31218636071044e-05
tls_up_10,5.000363527689136e-05
tls_up_12,4.1031989003224844e-05
tls_up_09,3.0029391356128924e-05
tls_up_11,2.6734610494831254e-05
tls_up_13,2.3110535978530195e-05
tls_up_14,2.130523180779232e-05
tls_up_15,1.6237280796722863e-05
tls_up_16,8.308895721655348e-06
tls_up_17,6.490696668112348e-06
tls_up_18,3.057393461425075e-08
tls_up_19,5.632229890443221e-10
seq_iat_00,0.0
