,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,627,0,0,0,0,0,0
true_1,1,29,15,15,11,8,14
true_2,2,9,44,9,13,11,8
true_3,1,18,10,37,11,9,10
true_4,0,15,10,17,31,9,8
true_5,0,8,7,23,3,30,11
true_6,0,9,6,16,12,11,26
