feature,importance
seq_dir_02,0.08839569340598656
seq_dir_05,0.06918328046649092
tls_down_06,0.048916877914247925
seq_dir_10,0.047270680499775876
seq_size_05,0.03976865119675184
seq_dir_07,0.035137209581801505
pkt_ratio_up,0.03207871333875145
seq_dir_08,0.029769877087200993
seq_size_04,0.026834294726843722
seq_dir_04,0.025305269176398353
seq_dir_12,0.025273902401271548
seq_dir_11,0.023570095241903524
tls_up_02,0.023094424404240525
seq_dir_14,0.020909879430600922
byte_ratio_up,0.017661642007424937
seq_dir_09,0.017410475881877788
seq_dir_13,0.01738990551064371
seq_iat_05,0.015125915064449911
seq_size_02,0.014720093355621095
seq_iat_06,0.01396905252413321
seq_dir_06,0.01393842795725665
seq_dir_03,0.01305027250104113
tls_up_01,0.012853527308311569
mean_pkt_sz,0.012329275929548958
tls_down_07,0.012207540104041117
std_iat_down,0.01165820524206112
seq_dir_16,0.011343386831808626
mean_pkt_sz_up,0.010852796321025362
std_iat,0.010668821800094814
total_bytes,0.010615726827896483
total_pkts,0.010222777442364083
seq_size_08,0.009787834564517546
seq_dir_15,0.009614354150099246
pkts_up,0.009577293320719604
std_iat_up,0.009461135445901221
std_pkt_sz,0.009310196554841775
seq_dir_18,0.008834599875756247
seq_size_03,0.008697640603371273
seq_iat_04,0.008649048127420816
mean_iat_up,0.008133078392927115
seq_iat_07,0.007907196733040056
seq_iat_08,0.007707872999139582
seq_size_06,0.007704119277859262
seq_dir_17,0.007678409249777015
tls_down_08,0.007191594152179777
seq_dir_19,0.006670725689354615
min_pkt_sz,0.006135584451785049
seq_iat_09,0.005665917517003117
seq_iat_03,0.005610839874428779
max_pkt_sz,0.0054290541544411005
seq_size_07,0.005279544703067416
duration_s,0.005166057277416936
tls_down_09,0.005007057745287636
tls_up_03,0.004885056919129583
seq_iat_11,0.004614258179192595
seq_iat_10,0.003835346471760944
seq_iat_12,0.0033061844801392237
tls_down_10,0.0028650545377497966
seq_iat_01,0.002818367323645073
tls_up_04,0.0027178143051728213
seq_size_10,0.0026537104374127402
seq_size_14,0.002543269740784898
tls_down_11,0.002422119014033963
tls_down_12,0.00236135451142097
seq_size_09,0.0023543233142360406
seq_size_11,0.0021001152106475958
seq_iat_02,0.0019129706372246974
seq_iat_16,0.001866176726058783
seq_iat_19,0.0017559986453886654
seq_iat_17,0.0016349671125266043
tls_up_05,0.0015901173912544694
tls_down_13,0.0015777504282795474
tls_down_15,0.0013340469768596199
seq_iat_15,0.0013113601287598816
tls_up_00,0.0012415993539530643
seq_dir_01,0.0012034105550576446
seq_size_13,0.0011498114866662894
seq_iat_13,0.0011193744797381308
tls_down_00,0.0010941995818811276
seq_iat_18,0.000997650332119674
tls_up_07,0.0009643899513758611
tls_down_14,0.0009488732736852968
seq_size_18,0.0008612568362773101
tls_up_06,0.0008543046873220534
tls_down_02,0.0008502090630665358
seq_size_12,0.0008207088248665893
tls_down_18,0.0007976865076572388
seq_iat_14,0.000739383812255744
tls_down_16,0.000717690115805879
tls_down_05,0.0006498879382997073
tls_down_04,0.0006179766113352319
tls_down_19,0.0005689478550671415
seq_size_15,0.0005500841838400301
seq_size_01,0.0004986097003911715
seq_size_00,0.0004387532226023892
tls_down_03,0.00039663142396347033
tls_up_08,0.0003862244119822453
seq_size_17,0.0003714096213470316
tls_down_01,0.0003076812366418958
seq_dir_00,0.0002871705677060346
seq_size_16,0.0002851173920638526
seq_size_19,0.00024911904238906053
tls_down_17,0.00021559205892029095
tls_up_09,0.00013549986120670298
tls_up_10,8.450726566688692e-05
tls_up_13,7.336627121841131e-05
tls_up_17,6.819640958153443e-05
tls_up_16,5.9677746489946325e-05
tls_up_15,5.878856591442569e-05
tls_up_11,5.800011131111456e-05
tls_up_12,3.8224816343516046e-05
tls_up_18,1.9984773505945758e-05
tls_up_14,1.379110191413925e-05
tls_up_19,1.1468959350377437e-10
seq_iat_00,0.0
