,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,627,0,0,0,0,0,0
true_1,0,34,15,16,7,7,14
true_2,2,10,42,9,13,11,9
true_3,1,16,10,35,14,10,10
true_4,0,16,9,17,32,7,9
true_5,0,8,6,23,4,26,15
true_6,0,8,6,20,11,12,23
