feature,importance
seq_iat_01,0.0523154158756409
seq_iat_02,0.05043561694161628
seq_iat_03,0.05004946707964195
seq_iat_04,0.04957506241847022
mean_iat_up,0.04907810802810944
std_iat_down,0.048085972346068796
std_iat,0.04776127766369131
duration_s,0.0468312787451278
seq_iat_05,0.046776664874155126
std_pkt_sz,0.04523683131166015
std_iat_up,0.04473828425084817
byte_ratio_up,0.04192254287193693
total_bytes,0.040157327090349366
mean_pkt_sz,0.0401197634166573
seq_iat_06,0.038485678566622314
mean_pkt_sz_up,0.037339398634120245
seq_size_04,0.03268510568683777
seq_size_05,0.029378457522626147
seq_size_02,0.0288360683162959
seq_size_03,0.022482233232236817
seq_dir_05,0.020541378261433915
seq_dir_02,0.016781522220869597
seq_size_06,0.016422280814674173
seq_dir_07,0.013654019468866347
seq_size_07,0.013617287041142057
seq_iat_07,0.01300390100531251
pkt_ratio_up,0.011642953142316758
seq_dir_04,0.010541259971161114
pkts_up,0.008404707850423316
total_pkts,0.007629899051942106
seq_dir_03,0.007278530292737792
seq_dir_06,0.005209756287087297
max_pkt_sz,0.005040249054254945
min_pkt_sz,0.003656157455093677
seq_size_00,0.0018768024503853938
seq_dir_01,0.0011045309853493096
seq_size_01,0.0010450658570225783
seq_dir_00,0.0002591439172142395
seq_iat_00,0.0
