,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,627,0,0,0,0,0,0
true_1,0,33,14,17,7,7,15
true_2,1,12,43,9,9,12,10
true_3,1,17,13,32,11,12,10
true_4,0,14,12,18,31,6,9
true_5,0,8,6,22,4,27,15
true_6,0,10,6,18,11,13,22
