,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,605,6,4,4,1,2,5
true_1,18,16,7,14,12,16,10
true_2,24,14,11,7,12,18,10
true_3,18,13,9,20,10,14,12
true_4,14,18,18,6,13,12,9
true_5,14,3,13,17,8,18,9
true_6,14,8,14,8,11,15,10
