feature,importance
seq_iat_01,0.049838237760914235
seq_iat_02,0.04877367587021601
seq_iat_03,0.048200732302583975
mean_iat_up,0.04770736233140567
std_iat_down,0.04731503419307777
seq_iat_04,0.04720455962278365
std_iat,0.04700509486147206
duration_s,0.04530077288427611
seq_iat_05,0.04480560340149337
std_iat_up,0.044152231963746444
std_pkt_sz,0.040964122411068386
byte_ratio_up,0.03828974691162237
mean_pkt_sz,0.03778230419194655
total_bytes,0.03699596960238272
seq_iat_06,0.03681090345970068
mean_pkt_sz_up,0.03641894375322481
seq_size_04,0.028367118934342652
seq_size_02,0.027724897984670562
seq_size_05,0.02396060343220916
seq_size_03,0.02102614857003966
seq_dir_05,0.015518621505063274
seq_dir_02,0.01307314143162074
seq_size_06,0.011213945176478956
seq_size_07,0.009869276118250295
seq_iat_07,0.009120906130398067
seq_iat_08,0.008402708553585273
seq_dir_04,0.008116821782104164
total_pkts,0.007628728658491194
seq_iat_09,0.007172356783032423
seq_dir_10,0.006911461167043187
pkt_ratio_up,0.006484565432780273
seq_dir_03,0.005430576977013124
seq_size_08,0.005304806835947669
seq_dir_07,0.0050555190123430975
seq_dir_06,0.004726024670415581
seq_dir_13,0.00393464213570689
seq_dir_14,0.0038281885054609922
pkts_up,0.003772441345747067
min_pkt_sz,0.0035871683980221738
max_pkt_sz,0.003543088930076259
seq_size_09,0.0033055210107593284
seq_dir_11,0.003285844240878036
seq_dir_12,0.003140485520210331
seq_iat_10,0.0030475304338835
seq_iat_11,0.002995854098010011
seq_size_10,0.002939515305665201
seq_dir_09,0.0028862904189510454
seq_iat_12,0.002844070769263136
seq_dir_16,0.002739404046144538
seq_dir_08,0.0027329581790100253
seq_dir_15,0.0024058462743442454
seq_size_11,0.002309151414956175
seq_size_12,0.001898495186596502
seq_dir_18,0.0018620352044489002
seq_dir_17,0.0018300082294381618
seq_dir_19,0.0016055553487708664
seq_size_14,0.0015604543235269333
seq_iat_15,0.0013444465141863764
seq_size_13,0.0012193777585902759
seq_iat_16,0.0011717370758087867
seq_size_00,0.0011643316159476722
seq_size_15,0.0010273077012125026
seq_dir_01,0.0010123121365651318
seq_iat_17,0.0010084626438768038
seq_iat_19,0.0009456328548302213
seq_iat_13,0.0008582383580474945
seq_size_17,0.0008454121480805756
seq_size_16,0.0008179093495363647
seq_size_01,0.000806181824883795
seq_iat_18,0.0007653146002913404
seq_size_18,0.0007211859695341635
seq_iat_14,0.0006804840826361632
seq_size_19,0.0006444748207392601
seq_dir_00,0.00023911654761878465
seq_iat_00,0.0
