,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,625,2,0,0,0,0,0
true_1,2,20,10,17,19,15,10
true_2,2,18,30,13,13,15,5
true_3,3,9,14,24,16,13,17
true_4,2,15,9,11,25,16,12
true_5,2,6,11,14,7,24,18
true_6,1,4,12,23,7,18,15
