,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,627,0,0,0,0,0,0
true_1,0,34,14,17,9,6,13
true_2,2,11,41,12,11,11,8
true_3,1,15,12,36,13,9,10
true_4,0,18,9,20,28,7,8
true_5,0,6,6,27,5,25,13
true_6,0,10,7,17,12,14,20
