flow_display,label,duration_s,total_pkts,total_bytes,pkts_up,mean_pkt_sz,std_pkt_sz,min_pkt_sz,max_pkt_sz,mean_pkt_sz_up,std_iat,mean_iat_up,std_iat_up,std_iat_down,byte_ratio_up,pkt_ratio_up,entropy,seq_size_00,seq_size_01,seq_size_02,seq_size_03,seq_size_04,seq_size_05,seq_size_06,seq_size_07,seq_size_08,seq_size_09,seq_size_10,seq_size_11,seq_size_12,seq_size_13,seq_size_14,seq_size_15,seq_size_16,seq_size_17,seq_size_18,seq_size_19,seq_dir_00,seq_dir_01,seq_dir_02,seq_dir_03,seq_dir_04,seq_dir_05,seq_dir_06,seq_dir_07,seq_dir_08,seq_dir_09,seq_dir_10,seq_dir_11,seq_dir_12,seq_dir_13,seq_dir_14,seq_dir_15,seq_dir_16,seq_dir_17,seq_dir_18,seq_dir_19,seq_iat_00,seq_iat_01,seq_iat_02,seq_iat_03,seq_iat_04,seq_iat_05,seq_iat_06,seq_iat_07,seq_iat_08,seq_iat_09,seq_iat_10,seq_iat_11,seq_iat_12,seq_iat_13,seq_iat_14,seq_iat_15,seq_iat_16,seq_iat_17,seq_iat_18,seq_iat_19,tls_up_03,tls_up_04,tls_up_05,tls_up_06,tls_up_07,tls_up_08,tls_up_09,tls_up_10,tls_up_11,tls_up_12,tls_up_13,tls_up_14,tls_up_15,tls_up_16,tls_up_17,tls_up_18,tls_up_19,tls_down_08,tls_down_09,tls_down_10,tls_down_11,tls_down_12,tls_down_13,tls_down_14,tls_down_15,tls_down_16,tls_down_17,tls_down_18,tls_down_19
10.11.0.30:57008 → 10.11.0.5:8443,4,57.02066516876221,10,42331,2,4233.1,4610.010447083848,80,11979,125,6.605465818682047,0.00013899803161621094,0,7.370689825738645,0.005905837329616593,0.2,5.675704882778696,80,170,510,429,7240,7240,10136,4344,11979,203,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0.00013899803161621094,0.000051975250244140625,0.002476930618286133,19.23836898803711,0.000048160552978515625,0.000017881393432617188,0.000008106231689453125,0.00005602836608886719,7.731771945953369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16401,8122,198,0,0,0,0,0,0,0,0,0
10.11.0.40:55814 → 10.11.0.20:9443,0,8.616859197616577,30,7836,4,261.2,255.9093859027125,24,932,105.75,0.3061507585831959,2.871088663736979,4.972187387970835,0.30382563478972896,0.053981623277182235,0.13333333333333333,5.6875,80,289,574,151,90,172,172,173,171,921,594,172,175,175,172,594,174,932,169,172,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.00014781951904296875,0.00009918212890625,0.0002429485321044922,0.0002219676971435547,0.16807889938354492,0.8803751468658447,0.5089619159698486,0.342587947845459,0.0003540515899658203,0.6149659156799316,0.2093961238861084,0.9449610710144043,0.5495250225067139,0.6359279155731201,0.172821044921875,0.10351085662841797,0.0004031658172607422,0.3283050060272217,0.4036979675292969,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,167,168,166,916,589,167,170,170,167,589,169
10.11.0.30:42862 → 10.11.0.5:8444,5,0.011746883392333984,7,1299,3,185.57142857142858,104.45709987495208,27,287,175.66666666666666,0.0004377098636370008,0.00007700920104980469,0.0000903628432073568,0.0006159198258296353,0.40569668976135487,0.42857142857142855,5.644454882778696,80,287,276,171,287,171,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011801719665527344,0.00002288818359375,0.000013113021850585938,0.000003814697265625,0.0011072158813476563,0.00004100799560546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:50754 → 10.11.0.5:8444,5,0.011627912521362305,7,1308,3,186.85714285714286,104.3031296613043,27,287,178.66666666666666,0.00029436982711244245,0.00005996227264404297,0.00006794071979956119,0.0004133660455647579,0.40978593272171254,0.42857142857142855,5.6875,80,287,276,180,287,171,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00009107589721679688,0.000016927719116210938,0.000011920928955078125,0.0000030994415283203125,0.0007479190826416016,0.000031948089599609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.40:55656 → 10.11.0.20:9443,0,0.506425142288208,13,9822,6,755.5384615384615,1029.343448950561,24,2619,161.16666666666666,0.04867018091716441,0.07003240585327149,0.07335869381718735,0.09430124866962547,0.09845245367542252,0.46153846153846156,5.613204882778696,80,574,173,310,173,310,173,2619,184,2509,184,2509,24,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0.0004429817199707031,0.0001220703125,0.004370927810668945,0.023623943328857422,0.003843069076538086,0.0659630298614502,0.025244951248168945,0.03473210334777832,0.09248685836791992,0.09933209419250488,0.14740204811096191,0.00308990478515625,0,0,0,0,0,0,0,168,179,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2614,2504,2504,19,0,0,0,0,0,0,0,0
10.11.0.40:40432 → 10.11.0.20:9443,0,115.10380387306213,8,3145,5,393.125,370.64169740754056,80,1219,369,0.7527483213099858,0.5214499831199646,1.0423400213315774,1.380153008217501,0.5866454689984102,0.625,5.550704882778696,80,574,228,88,362,230,1219,364,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003910064697265625,0.0001819133758544922,0.00010395050048828125,0.07788610458374023,2.0070738792419434,0.00016307830810546875,0.02276611328125,0,0,0,0,0,0,0,0,0,0,0,0,225,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.40:39478 → 10.11.0.20:9443,0,18.723687887191772,16,7463,8,466.4375,533.7313892149621,80,1782,161.375,1.1955916818929035,1.0164862700871058,1.663074267600688,1.6501457769048018,0.1729867345571486,0.5,5.5,80,574,173,1782,173,1450,173,1117,173,156,173,156,173,156,173,781,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0.0002238750457763672,0.0007369518280029297,0.039077043533325195,0.2808561325073242,0.029670000076293945,4.49566388130188,0.014014959335327148,0.10845208168029785,0.022120952606201172,0.06668496131896973,0.03666114807128906,1.736008882522583,0.01075291633605957,0.27448010444641113,0.01311802864074707,0,0,0,0,168,168,168,168,168,0,0,0,0,0,0,0,0,0,0,0,0,1112,151,151,151,776,0,0,0,0,0,0,0
10.11.0.40:60340 → 10.11.0.20:9443,0,15.387287139892578,55,34522,4,627.6727272727272,1148.614947803004,24,4178,105.75,0.24984069935185532,5.127284049987793,8.879710946031217,0.24570157055489064,0.012253056022246684,0.07272727272727272,5.581954882778696,80,289,574,151,90,174,594,172,174,4178,175,594,174,622,4178,172,172,322,4178,171,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.0002181529998779297,0.00011706352233886719,0.0005478858947753906,0.0004010200500488281,0.5397059917449951,0.4324169158935547,0.1298840045928955,0.8034570217132568,0.0377500057220459,0.6727321147918701,0.2937438488006592,0.5846409797668457,0.0008351802825927734,0.3890528678894043,0.08523797988891602,0.6074869632720947,0.0010230541229248047,0.280303955078125,0.13739919662475586,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,589,167,169,4173,170,589,169,617,4173,167,167
10.11.0.40:38878 → 10.11.0.20:9443,0,28.05937099456787,262,283749,2,1083.0114503816794,140.3441714444348,24,1104,129.5,0.032584866917572286,0.0006899833679199219,0,0.03130670842647154,0.0009127785472371709,0.007633587786259542,5.625,80,574,179,241,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.0004200935363769531,0.00026988983154296875,0.0005362033843994141,0.00020694732666015625,0.09386587142944336,0.11968302726745605,0.12845206260681152,0.05862593650817871,0.1404399871826172,0.13882017135620117,0.07973790168762207,0.07617712020874023,0.07713794708251953,0.09062695503234863,0.16461586952209473,0.11884307861328125,0.060790061950683594,0.14583396911621094,0.10809993743896484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099
10.11.0.40:51666 → 10.11.0.20:9443,0,0.22837615013122559,9,3615,4,401.6666666666667,602.5937686368819,24,1952,149.75,0.04123099561311295,0.07170399030049641,0.0719998517372425,0.05768611313173229,0.1656984785615491,0.4444444444444444,5.71875,80,574,173,156,173,1952,173,310,24,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.00026607513427734375,0.00014781951904296875,0.02527308464050293,0.11912012100219727,0.01502084732055664,0.05528402328491211,0.006557941436767578,0.0020749568939208984,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,19,0,0,0,0,0,0,0,0,0,0
